Waterbody Name,County,DEC Region,Year,Bloom Type,Date of First Listing,Date of Last Listing,Number of Weeks on DEC Notification List,Number of Weeks with Updates,Latitude,Longitude,Location 1
Beaver Lake,Broome,7,2012,C,06/18/2012,10/27/2012,19,5,42.0455017,-75.6657028,"(42.0455017, -75.6657028)"
Beaver Lake Inlet,Cattaraugus,9,2012,S,08/07/2012,10/02/2012,8,3,42.4484310,-78.3972140,"(42.448431, -78.397214)"
Bedford Lake,Westchester,3,2017,C,06/16/2017,06/30/2017,2,2,41.1948013,-73.7036972,"(41.1948013, -73.7036972)"
Bedford Lake,Westchester,3,2016,HT,07/15/2016,09/29/2016,11,5,41.1948013,-73.7036972,"(41.1948013, -73.7036972)"
Bedford Lake,Westchester,3,2015,C,09/18/2015,09/25/2015,1,1,41.1948013,-73.7036972,"(41.1948013, -73.7036972)"
Bedford Lake,Westchester,3,2014,C,03/08/2014,10/13/2014,31,2,41.1948013,-73.7036972,"(41.1948013, -73.7036972)"
Bedford Lake,Westchester,3,2013,C,07/07/2013,10/27/2013,16,1,41.1948013,-73.7036972,"(41.1948013, -73.7036972)"
Bedford Lake,Westchester,3,2012,C,07/22/2012,10/27/2012,14,1,41.1948013,-73.7036972,"(41.1948013, -73.7036972)"
Beverly's Pond,Chemung,8,2018,S,08/17/2018,10/20/2018,9,1,40.9387890,-72.6852110,"(40.938789, -72.685211)"
Big Bowman Pond,Rensselaer,5,2018,C,06/22/2018,10/02/2018,15,1,42.6483002,-73.4879990,"(42.6483002, -73.487999)"
Big Bowman Pond,Rensselaer,5,2016,C,08/19/2016,10/27/2016,10,2,42.6483002,-73.4879990,"(42.6483002, -73.487999)"
Big Fresh Pond,Suffolk,1,2018,C,08/24/2018,10/13/2018,7,1,40.6192700,-73.9569600,"(40.61927, -73.95696)"
Big Reed Pond,Suffolk,1,2016,C,08/26/2016,09/30/2016,5,2,41.0780983,-71.9101028,"(41.0780983, -71.9101028)"
Big Reed Pond,Suffolk,1,2015,C,05/29/2015,09/29/2015,18,2,41.0780983,-71.9101028,"(41.0780983, -71.9101028)"
Big Reed Pond,Suffolk,1,2014,C,05/21/2014,10/27/2014,23,5,41.0780983,-71.9101028,"(41.0780983, -71.9101028)"
Black Lake,St Lawrence,6,2017,C,04/08/2017,10/13/2017,27,2,44.5379982,-75.5688019,"(44.5379982, -75.5688019)"
Black Lake,St Lawrence,6,2016,C,07/15/2016,10/27/2016,15,5,44.5379982,-75.5688019,"(44.5379982, -75.5688019)"
Black Lake,St Lawrence,6,2015,C,08/21/2015,10/02/2015,6,2,44.5379982,-75.5688019,"(44.5379982, -75.5688019)"
Black Lake,St Lawrence,6,2014,HT,07/29/2014,10/20/2014,12,4,44.5379982,-75.5688019,"(44.5379982, -75.5688019)"
Black Lake,St Lawrence,6,2013,HT,07/11/2013,08/08/2013,4,4,44.5379982,-75.5688019,"(44.5379982, -75.5688019)"
Black Lake,St Lawrence,6,2013,HT,07/11/2013,08/07/2013,4,3,44.5379982,-75.5688019,"(44.5379982, -75.5688019)"
Black Lake,St Lawrence,6,2012,HT,07/17/2012,08/28/2012,6,3,44.5379982,-75.5688019,"(44.5379982, -75.5688019)"
Blind Sodus Bay,Wayne,7,2016,C,09/09/2016,10/28/2016,7,3,43.3382988,-76.7283020,"(43.3382988, -76.728302)"
Blind Sodus Bay,Wayne,8,2016,C,09/09/2016,10/28/2016,7,3,43.3382988,-76.7283020,"(43.3382988, -76.728302)"
Blind Sodus Bay,Cayuga,7,2014,S,08/02/2014,09/29/2014,8,1,43.3382988,-76.7283020,"(43.3382988, -76.728302)"
Blue Heron Lake,Westchester,3,2014,HT,06/01/2014,10/20/2014,20,2,41.1916008,-73.5922012,"(41.1916008, -73.5922012)"
Blydenburg Lake,Suffolk,1,2016,C,09/16/2016,10/20/2016,5,1,40.8268013,-73.2197037,"(40.8268013, -73.2197037)"
Bowman Lake,Chenango,7,2016,S,08/12/2016,10/02/2016,7,1,42.5186996,-75.6885986,"(42.5186996, -75.6885986)"
Bowne Pond,Queens,2,2018,HT,05/17/2018,08/03/2018,11,7,40.7707070,-73.8082550,"(40.770707, -73.808255)"
Bowne Pond,Queens,2,2017,C,06/09/2017,09/29/2017,16,4,40.7707070,-73.8082550,"(40.770707, -73.808255)"
Bowne Pond,Queens,2,2016,C,06/17/2016,10/27/2016,19,11,40.7707070,-73.8082550,"(40.770707, -73.808255)"
Bowne Pond,Queens,2,2015,C,09/01/2015,10/13/2015,6,1,40.7707070,-73.8082550,"(40.770707, -73.808255)"
Bowne Pond,Queens,2,2012,S,06/17/2012,10/27/2012,19,1,40.7707070,-73.8082550,"(40.770707, -73.808255)"
Boyd Lake,Jefferson,6,2015,HT,09/18/2015,10/20/2015,5,3,44.3093987,-75.7397003,"(44.3093987, -75.7397003)"
Boyd Lake,Jefferson,6,2014,HT,06/19/2014,10/16/2014,17,7,44.3093987,-75.7397003,"(44.3093987, -75.7397003)"
Bradley Brook Reservoir,Madison,7,2018,C,09/21/2018,10/20/2018,4,1,42.8339996,-75.6622009,"(42.8339996, -75.6622009)"
Brooks Lake,Richmond,2,2018,C,09/14/2018,09/28/2018,2,1,40.6244011,-74.1203003,"(40.6244011, -74.1203003)"
Brooks Lake,Orange,3,2018,S,08/24/2018,09/14/2018,3,1,40.6244011,-74.1203003,"(40.6244011, -74.1203003)"
Brooks Lake,Orange,3,2017,S,08/18/2017,09/29/2017,6,2,41.3302994,-73.9946976,"(41.3302994, -73.9946976)"
Brooks Lake,Richmond,2,2017,HT,07/28/2017,10/27/2017,13,3,40.6244011,-74.1203003,"(40.6244011, -74.1203003)"
Brooks Lake,Richmond,2,2016,C,09/02/2016,10/13/2016,6,1,40.6244011,-74.1203003,"(40.6244011, -74.1203003)"
Brooks Lake,Orange,3,2016,C,09/02/2016,09/24/2016,3,1,41.3302994,-73.9946976,"(41.3302994, -73.9946976)"
Brooks Lake,Richmond,2,2015,HT,08/28/2015,10/27/2015,9,2,40.6244011,-74.1203003,"(40.6244011, -74.1203003)"
Brown's Pond,Orange,3,2017,S,09/22/2017,10/02/2017,1,1,41.4740982,-74.0867996,"(41.4740982, -74.0867996)"
Brown's Pond,Orange,3,2015,S,04/09/2015,10/20/2015,28,1,41.4740982,-74.0867996,"(41.4740982, -74.0867996)"
Brown's Pond,Orange,3,2013,C,09/11/2013,10/20/2013,6,3,41.4740982,-74.0867996,"(41.4740982, -74.0867996)"
Brown's Pond,Orange,3,2013,C,08/28/2013,10/20/2013,8,8,41.4740982,-74.0867996,"(41.4740982, -74.0867996)"
Buckingham Lake,Albany,4,2014,C,07/13/2014,09/29/2014,11,1,42.6635017,-73.8070984,"(42.6635017, -73.8070984)"
Buckingham Lake,Albany,4,2013,C,06/15/2013,08/03/2013,7,7,42.6635017,-73.8070984,"(42.6635017, -73.8070984)"
Buckingham Lake,Albany,4,2012,C,07/28/2012,10/13/2012,11,2,42.6635017,-73.8070984,"(42.6635017, -73.8070984)"
Buck Pond,Monroe,8,2016,C,05/08/2016,10/27/2016,25,1,43.2815100,-77.6638300,"(43.28151, -77.66383)"
Burden Lake,Rensselaer,5,2015,C,04/09/2015,06/30/2015,12,1,42.6089220,-73.5686270,"(42.608922, -73.568627)"
Burden Lake,Rensselaer,5,2013,C,09/29/2013,10/14/2013,2,2,42.5946999,-73.5614014,"(42.5946999, -73.5614014)"
Burden Third Lake,Rensselaer,5,2017,C,06/16/2017,10/20/2017,18,1,42.5946999,-73.5614014,"(42.5946999, -73.5614014)"
Butterfield Lake,Jefferson,6,2018,C,09/21/2018,10/02/2018,2,1,44.3165016,-75.7751999,"(44.3165016, -75.7751999)"
Butterfield Lake,Jefferson,6,2017,C,09/29/2017,10/13/2017,2,1,44.3165016,-75.7751999,"(44.3165016, -75.7751999)"
Butterfield Lake,Jefferson,6,2014,C,08/06/2014,10/27/2014,12,2,44.3165016,-75.7751999,"(44.3165016, -75.7751999)"
Butterfield Lake,Jefferson,6,2013,C,07/03/2013,10/20/2013,16,8,44.3165016,-75.7751999,"(44.3165016, -75.7751999)"
Canadarago Lake,Otsego,4,2016,C,07/10/2016,09/29/2016,12,1,42.8153000,-75.0061035,"(42.8153, -75.0061035)"
Canadarago Lake,Otsego,4,2015,C,08/28/2015,10/27/2015,9,2,42.8153000,-75.0061035,"(42.8153, -75.0061035)"
Canandaigua Lake,Ontario,8,2018,HT,08/24/2018,10/13/2018,7,7,42.7779999,-77.3050995,"(42.7779999, -77.3050995)"
Canandaigua Lake,Yates,8,2018,HT,08/24/2018,10/27/2018,9,7,42.7779999,-77.3050995,"(42.7779999, -77.3050995)"
Canandaigua Lake,Ontario,8,2017,HT,09/07/2017,10/06/2017,4,4,42.7779999,-77.3050995,"(42.7779999, -77.3050995)"
Canandaigua Lake,Yates,8,2017,HT,09/15/2017,10/27/2017,6,4,42.7779999,-77.3050995,"(42.7779999, -77.3050995)"
Canandaigua Lake,Yates,8,2016,C,09/09/2016,10/20/2016,6,1,42.7779999,-77.3050995,"(42.7779999, -77.3050995)"
Canandaigua Lake,Ontario,8,2016,C,09/09/2016,10/20/2016,6,1,42.7779999,-77.3050995,"(42.7779999, -77.3050995)"
Canandaigua Lake,Yates,8,2015,HT,04/09/2015,06/30/2015,12,4,42.7779999,-77.3050995,"(42.7779999, -77.3050995)"
Canandaigua Lake,Ontario,8,2015,HT,04/09/2015,06/30/2015,12,4,42.7779999,-77.3050995,"(42.7779999, -77.3050995)"
Cannonsville Reservoir,Delaware,4,2017,S,10/20/2017,10/27/2017,1,1,42.1063004,-75.2809982,"(42.1063004, -75.2809982)"
Cannonsville Reservoir,Delaware,4,2016,C,09/02/2016,09/29/2016,4,1,42.1063004,-75.2809982,"(42.1063004, -75.2809982)"
Casey Park Pond,Wayne,8,2014,S,10/24/2014,10/31/2014,1,1,43.2352982,-77.2974014,"(43.2352982, -77.2974014)"
Cayuga Lake,Cayuga,7,2018,HT,07/06/2018,10/02/2018,13,11,42.7057180,-76.6961050,"(42.705718, -76.696105)"
Cayuga Lake,Tompkins,7,2017,HT,08/16/2017,10/27/2017,10,8,42.7057180,-76.6961050,"(42.705718, -76.696105)"
Cayuga Lake,Seneca,8,2017,HT,08/16/2017,10/27/2017,10,8,42.7057180,-76.6961050,"(42.705718, -76.696105)"
Cayuga Lake,Cayuga,7,2017,HT,07/21/2017,09/29/2017,10,8,42.7057180,-76.6961050,"(42.705718, -76.696105)"
Cayuga Lake,Tompkins,7,2016,C,08/19/2016,10/27/2016,10,3,42.7057180,-76.6961050,"(42.705718, -76.696105)"
Cayuga Lake,Seneca,8,2016,C,08/19/2016,10/13/2016,8,3,42.7057180,-76.6961050,"(42.705718, -76.696105)"
Cayuga Lake,Cayuga,7,2016,C,08/19/2016,10/27/2016,10,3,42.7057180,-76.6961050,"(42.705718, -76.696105)"
Cayuga Lake,Cayuga,7,2014,C,07/21/2014,10/20/2014,13,2,42.7057180,-76.6961050,"(42.705718, -76.696105)"
Cayuga Lake,Tompkins,7,2014,C,07/21/2014,10/02/2014,10,2,42.7057180,-76.6961050,"(42.705718, -76.696105)"
Cayuga Lake,Seneca,8,2014,C,07/21/2014,10/20/2014,13,2,42.7057180,-76.6961050,"(42.705718, -76.696105)"
Cayuga-Seneca Canal,Seneca,8,2015,C,04/09/2015,10/27/2015,29,1,42.9095550,-76.7991930,"(42.909555, -76.799193)"
Cayuta Lake,Schuyler,8,2018,HT,09/07/2018,10/19/2018,6,3,42.3670006,-76.7352982,"(42.3670006, -76.7352982)"
Cayuta Lake,Schuyler,8,2017,HT,06/25/2017,10/27/2017,18,7,42.3670006,-76.7352982,"(42.3670006, -76.7352982)"
Cayuta Lake,Schuyler,8,2016,C,08/19/2016,09/29/2016,6,5,42.3670006,-76.7352982,"(42.3670006, -76.7352982)"
Cayuta Lake,Schuyler,8,2013,C,07/15/2013,10/27/2013,15,4,42.3670006,-76.7352982,"(42.3670006, -76.7352982)"
Cayuta Lake,Schuyler,8,2013,C,07/15/2013,10/27/2013,15,15,42.3670006,-76.7352982,"(42.3670006, -76.7352982)"
Cayuta Lake,Schuyler,8,2012,S,08/22/2012,10/13/2012,7,2,42.3670006,-76.7352982,"(42.3670006, -76.7352982)"
Cazenovia Lake,Madison,7,2018,C,06/07/2018,10/13/2018,18,5,42.9482002,-75.8720016,"(42.9482002, -75.8720016)"
Cazenovia Lake,Madison,7,2016,C,06/17/2016,10/27/2016,19,1,42.9482002,-75.8720016,"(42.9482002, -75.8720016)"
Cazenovia Lake,Madison,7,2014,C,08/27/2014,10/02/2014,5,3,42.9482002,-75.8720016,"(42.9482002, -75.8720016)"
Cazenovia Lake,Madison,7,2013,C,08/13/2013,09/05/2013,3,3,42.9482002,-75.8720016,"(42.9482002, -75.8720016)"
Cazenovia Lake,Madison,7,2013,C,08/13/2013,10/20/2013,10,3,42.9482002,-75.8720016,"(42.9482002, -75.8720016)"
Cazenovia Lake,Madison,7,2012,HT,09/12/2012,10/20/2012,5,3,42.9482002,-75.8720016,"(42.9482002, -75.8720016)"
Cedar Lake,Herkimer,6,2015,C,04/09/2015,10/27/2015,29,1,42.9537010,-75.1859970,"(42.953701, -75.185997)"
Central Bridge Upper Reservoir,Schoharie,4,2016,HT,09/23/2016,10/14/2016,3,2,42.7155991,-74.3657990,"(42.7155991, -74.365799)"
Chautauqua Lake,Chautauqua,9,2018,HT,05/25/2018,10/13/2018,20,17,42.1562380,-79.3934830,"(42.156238, -79.393483)"
Chautauqua Lake,Chautauqua,9,2017,HT,06/25/2017,10/27/2017,18,15,42.1562380,-79.3934830,"(42.156238, -79.393483)"
Chautauqua Lake,Chautauqua,9,2016,HT,07/11/2016,10/28/2016,16,12,42.1562380,-79.3934830,"(42.156238, -79.393483)"
Chautauqua Lake,Chautauqua,9,2015,HT,03/07/2015,10/20/2015,32,8,42.1562380,-79.3934830,"(42.156238, -79.393483)"
Chautauqua Lake,Chautauqua,9,2014,HT,06/30/2014,10/20/2014,16,11,42.1562380,-79.3934830,"(42.156238, -79.393483)"
Chautauqua Lake,Chautauqua,9,2013,HT,07/16/2013,11/04/2013,16,11,42.1562380,-79.3934830,"(42.156238, -79.393483)"
Chautauqua Lake,Chautauqua,9,2012,HT,07/28/2012,10/10/2012,11,9,42.1562380,-79.3934830,"(42.156238, -79.393483)"
Chenango Lake,Chenango,7,2013,C,08/27/2013,10/27/2013,9,1,42.5825996,-75.4412003,"(42.5825996, -75.4412003)"
Chestnut Ridge Pond,Sullivan,3,2018,S,10/12/2018,10/26/2018,2,1,41.0841900,-74.0622100,"(41.08419, -74.06221)"
China Pond,Putnam,3,2017,C,09/22/2017,09/29/2017,1,1,41.4418983,-73.7434998,"(41.4418983, -73.7434998)"
Chodikee Lake,Ulster,3,2018,C,07/20/2018,10/20/2018,13,2,41.7727013,-73.9838028,"(41.7727013, -73.9838028)"
Chodikee Lake,Ulster,3,2016,S,09/23/2016,10/20/2016,4,1,41.7727013,-73.9838028,"(41.7727013, -73.9838028)"
Chodikee Lake,Ulster,3,2015,S,06/26/2015,07/10/2015,2,2,41.7727013,-73.9838028,"(41.7727013, -73.9838028)"
Clove Lake,Richmond,2,2018,HT,07/13/2018,10/27/2018,15,3,40.6167984,-74.1075974,"(40.6167984, -74.1075974)"
Clove Lake,Richmond,2,2017,HT,07/28/2017,10/13/2017,11,3,40.6167984,-74.1075974,"(40.6167984, -74.1075974)"
Clove Lake,Richmond,2,2016,C,09/02/2016,10/27/2016,8,1,40.6167984,-74.1075974,"(40.6167984, -74.1075974)"
Clove Lake,Richmond,2,2015,S,06/08/2015,10/02/2015,17,1,40.6167984,-74.1075974,"(40.6167984, -74.1075974)"
Conesus Creek,Livingston,8,2015,S,07/31/2015,08/07/2015,1,1,42.8347360,-77.7045610,"(42.834736, -77.704561)"
Conesus Creek,Livingston,8,2014,S,05/09/2014,09/29/2014,20,1,42.8347360,-77.7045610,"(42.834736, -77.704561)"
Conesus Lake,Livingston,8,2018,C,06/22/2018,10/02/2018,15,6,42.7522011,-77.7186966,"(42.7522011, -77.7186966)"
Conesus Lake,Livingston,8,2017,C,07/14/2017,10/20/2017,14,3,42.7522011,-77.7186966,"(42.7522011, -77.7186966)"
Conesus Lake,Livingston,8,2016,C,06/24/2016,10/20/2016,17,4,42.7522011,-77.7186966,"(42.7522011, -77.7186966)"
Conesus Lake,Livingston,8,2014,S,07/16/2014,09/05/2014,7,4,42.7522011,-77.7186966,"(42.7522011, -77.7186966)"
Congers Lake,Rockland,3,2013,HT,08/27/2013,10/27/2013,9,1,41.1427994,-73.9396973,"(41.1427994, -73.9396973)"
Coopers Neck Pond,Suffolk,1,2018,C,08/31/2018,10/27/2018,8,2,40.8675995,-72.4021988,"(40.8675995, -72.4021988)"
Coopers Neck Pond,Suffolk,1,2017,C,09/29/2017,10/13/2017,2,1,40.8675995,-72.4021988,"(40.8675995, -72.4021988)"
Copake Lake,Columbia,5,2014,C,04/09/2014,09/29/2014,25,3,42.1440010,-73.5954971,"(42.144001, -73.5954971)"
Copake Lake,Columbia,5,2012,S,09/27/2012,10/04/2012,1,1,42.1440010,-73.5954971,"(42.144001, -73.5954971)"
Cortlandt Lake,Westchester,3,2018,S,06/07/2018,06/30/2018,3,1,42.1440010,-73.5954971,"(42.144001, -73.5954971)"
Cossayuna Lake,Washington,5,2018,C,08/31/2018,10/13/2018,6,4,43.2005997,-73.4234009,"(43.2005997, -73.4234009)"
Cossayuna Lake,Washington,5,2017,S,10/13/2017,10/27/2017,2,1,43.2005997,-73.4234009,"(43.2005997, -73.4234009)"
Cossayuna Lake,Washington,5,2015,C,09/18/2015,10/02/2015,2,1,43.2005997,-73.4234009,"(43.2005997, -73.4234009)"
Cossayuna Lake,Washington,5,2014,C,09/01/2014,10/20/2014,7,3,43.2005997,-73.4234009,"(43.2005997, -73.4234009)"
Cossayuna Lake,Washington,5,2013,HT,08/06/2013,10/20/2013,11,5,43.2005997,-73.4234009,"(43.2005997, -73.4234009)"
Coxsackie Reservoir,Greene,4,2017,C,04/08/2017,10/27/2017,29,1,42.4076004,-73.8778000,"(42.4076004, -73.8778)"
Craine Lake,Madison,7,2018,HT,06/01/2018,10/27/2018,21,6,42.7608500,-75.5575300,"(42.76085, -75.55753)"
Craine Lake,Madison,7,2017,HT,08/11/2017,10/02/2017,7,3,42.7608500,-75.5575300,"(42.76085, -75.55753)"
Craine Lake,Madison,7,2016,HT,06/24/2016,10/20/2016,17,5,42.7608500,-75.5575300,"(42.76085, -75.55753)"
Craine Lake,Madison,7,2015,HT,07/31/2015,10/20/2015,12,3,42.7608500,-75.5575300,"(42.76085, -75.55753)"
Craine Lake,Madison,7,2014,HT,06/24/2014,09/03/2014,10,7,42.7608500,-75.5575300,"(42.76085, -75.55753)"
Craine Lake,Madison,7,2013,HT,05/01/2013,09/29/2013,22,9,42.7608500,-75.5575300,"(42.76085, -75.55753)"
Craine Lake,Madison,7,2012,HT,07/07/2012,09/29/2012,12,7,42.7608500,-75.5575300,"(42.76085, -75.55753)"
Cranberry Pond,Monroe,8,2016,HT,05/08/2016,10/13/2016,23,2,43.3004990,-77.6973038,"(43.300499, -77.6973038)"
Croton Falls Reservoir,Putnam,3,2018,S,03/08/2018,06/30/2018,16,1,41.3781013,-73.6547012,"(41.3781013, -73.6547012)"
Croton Falls Reservoir,Putnam,3,2017,S,07/21/2017,09/29/2017,10,2,41.3781013,-73.6547012,"(41.3781013, -73.6547012)"
Croton Falls Reservoir,Putnam,3,2016,S,08/26/2016,10/27/2016,9,2,41.3781013,-73.6547012,"(41.3781013, -73.6547012)"
Cuba Lake,Allegany,9,2015,C,09/01/2015,09/25/2015,3,1,42.2533989,-78.2928009,"(42.2533989, -78.2928009)"
Dead Lake,Washington,5,2018,S,09/14/2018,10/02/2018,3,2,42.8106995,-75.8886032,"(42.8106995, -75.8886032)"
